id,name,distance,moving_time,elapsed_time,total_elevation_gain,start_date,average_speed,max_speed,average_temp,elev_high,elev_low,calories,pr_count
16579000997,Afternoon Ride,21.39,64.88,4046,51,2025-11-23T06:24:44Z,19.78,39.82,30,113,53,,0
16540052058,Afternoon Ride,21.37,65.55,4081,103.4,2025-11-23T06:24:12Z,19.56,41.33,,68.2,13.4,,0
16531351388,Afternoon Bypass Laps,23.56,56.03,3396,39,2025-11-22T08:53:59Z,25.23,41.47,27,80,55,,0
16510845835,Morning Indang x3 Ride,60.61,168.77,11460,436,2025-11-19T22:51:51Z,21.55,45.36,27,315,55,,0
16492511337,Afternoon Indang x2 Training,50.56,138.62,10828,356,2025-11-18T06:02:46Z,21.88,48.53,29,328,58,,0
16482997164,Bypass Morning Laps,23.98,58.73,3524,27,2025-11-16T22:36:44Z,24.49,44.78,25,79,53,,0
16483011049,Afternoon Indang Climb,40.13,113.22,7447,276,2025-11-16T06:55:01Z,21.27,39.96,29,316,5,,0
16422287181,Indang x2,50.7,136.55,10178,332,2025-11-11T06:56:03Z,22.28,48.1,28,317,57,,0
16369089083,Indang training,44.01,116.35,7751,278,2025-11-05T21:57:37Z,22.7,42.7,26,345,55,,0
16358063453,Morning Laps,17.33,43.67,2709,56,2025-11-04T23:04:24Z,23.81,37.8,26,97,54,,1
16327583946,Alfonso ride,63.02,203.23,17833,594,2025-11-01T22:01:31Z,18.6,45.43,28,495,58,,4
16327583899,Morning Ride,23.44,57.12,4065,22,2025-10-31T21:52:03Z,24.62,37.3,25,84,58,,0
16290369363,Ang laki pala ng Indang!,55.28,196.13,15353,543,2025-10-29T05:37:44Z,16.91,45.86,28,456,60,,0
16290332043,Morning Ride,13.32,35.42,3107,31,2025-10-27T22:23:10Z,22.57,39.31,,134.4,17.6,,0
16276266334,Back to saddle (pls...),26.79,70.78,5041,82,2025-10-27T21:40:30Z,22.71,38.09,25,180,55,,0
16269033013,Pa align,12.51,39.37,4487,32,2025-10-27T06:14:31Z,19.06,39.67,5,111,56,,0
15683629389,nalilimutan istart lagi amp,3.41,46.55,6344,5.7,2025-09-03T13:04:01Z,4.39,21.02,,13.8,7.9,,0
15670162054,muntik pa maaberya,3.04,33.2,2460,11,2025-09-02T11:41:24Z,5.49,26.78,,13.8,5.5,,0
15580870300,dami naman prob5 sa bike nato!!!,20.4,64.53,5157,78,2025-08-25T08:06:47Z,18.97,36.5,29,132,63,,0
15567599511,back to saddle?,15.9,68.18,5160,42,2025-08-24T08:15:00Z,13.99,33.12,28,85,47,,0
15025142004,Afternoon Ride,10.1,31.05,2779,31,2025-07-06T08:47:31Z,19.51,43.85,29,103,49,,0
15000321843,Delivery,11.23,30.33,3294,33,2025-07-03T23:43:27Z,22.2,40.61,30,72,48,,1
14989721610,Recovery,11,30.17,2520,43,2025-07-02T00:25:57Z,21.87,35.14,33,86,54,,0
14968398395,Conchu!,53.16,151.9,11925,383,2025-06-30T21:53:37Z,21,46.44,26,365,48,,0
14958406256,Indang -> Trece,50.03,128.53,10692,325,2025-06-29T21:43:29Z,23.35,52.27,26,350,52,,6
14919849381,Trece to Indang sana,40.23,105.33,8791,229,2025-06-26T05:19:34Z,22.92,49.32,32,212,56,,0
14907971530,Trece!,30.63,76.05,5968,80,2025-06-24T21:27:14Z,24.16,37.51,24,189,26,,0
14898305837,Bypass laps,12.14,30.63,2150,13,2025-06-24T08:01:41Z,23.78,41.26,29,91,56,,0
14792041665,Cavite City!,66.53,183.98,15233,156,2025-06-13T21:42:56Z,21.7,46.51,12,75,41,,2
14786950477,Trece???,28.49,79.13,5160,98,2025-06-13T07:27:58Z,21.6,46.8,32,108,53,,0
14710444754,Tagaytay!,80.62,243.35,21800,757,2025-06-05T21:32:40Z,19.88,44.5,30,712,53,,0
14589047243,Pulo ni Saara (Goated climb???),50.54,159.9,11634,452,2025-05-25T07:26:01Z,18.96,47.66,28,464,50,,3
14578243967,Afternoon Ride,19.29,61.77,4732,107,2025-05-24T08:06:55Z,18.74,37.87,35,132,58,,0
14508924847,Afternoon Ride,26.72,78.15,6800,79,2025-05-17T07:55:59Z,20.52,46.51,33,85,53,,0
14476739379,Trece Indang!,50.32,126,8979,354,2025-05-12T22:06:44Z,23.96,50.47,28,353,53,,3
14431111747,Ride out parin kahit 7am (e mainit),54.56,141.1,11651,441,2025-05-09T23:22:10Z,23.2,53.35,34,182,52,,4
14371088928,Naic -> Trece -> Indang -> Naic,50.65,140.45,14373,375,2025-05-03T22:21:00Z,21.64,48.6,30,353,54,,2
14362251857,Indang! Osmo Action 1 test narin.,39.81,105.23,8775,228,2025-05-03T07:06:53Z,22.7,55.87,32,315,50,,1
14237302916,"Quickie Indang sana, e umambon!",36.12,89.83,5981,163,2025-04-20T21:33:59Z,24.13,48.46,26,274,60,,1
14232384793,Hatid nibs!,22.44,65.05,5213,66,2025-04-20T08:53:43Z,20.7,48.24,16,76,50,,0
14220759292,Bypass laps,16.29,40.83,2485,42,2025-04-19T08:51:15Z,23.94,46.94,33,84,55,,1
14211924427,Hanap Bigbrew,39.98,111.25,7825,152,2025-04-18T07:12:38Z,21.56,41.54,35,214,44,,1
14203661378,Afternoon Indang Ride,40.91,108.92,7978,220,2025-04-17T07:42:34Z,22.54,47.81,32,332,59,,1
14027935854,Afternoon Ride,21.02,61.32,4237,79,2025-03-30T07:40:36Z,20.56,42.84,32,74,43,,0
13896228606,Afternoon Ride,50.05,137.72,9424,244,2025-03-16T07:47:33Z,21.81,47.74,30,324,56,,0
13887595568,Afternoon Ride,51.73,136.13,10091,249,2025-03-15T07:17:36Z,22.8,51.26,30,332,58,,0
13757976945,Afternoon Ride,43.51,126.62,9224,287,2025-03-01T07:44:25Z,20.62,49.54,28,340,22,,0
13730909710,Afternoon Ride,45.18,125.27,13998,321,2025-02-26T06:08:01Z,21.64,49.32,28,148,46,,0
13722937374,Afternoon Ride,35.92,97.87,8098,272,2025-02-25T07:44:49Z,22.02,47.16,26,272,48,,0
13719972421,Morning Ride,12.39,34.65,3524,40,2025-02-17T00:35:29Z,21.46,40.03,31,290,45,,0
13570145802,Afternoon Ride,16.55,45.02,3742,53,2025-02-08T07:05:36Z,22.05,45.29,28,102,52,,1
13570145708,Afternoon Ride,2.52,9.18,655,3,2025-01-19T06:01:25Z,16.45,40.03,29,84,60,,0
13570145629,Afternoon Ride,16.48,48.17,3407,53,2025-01-18T08:26:53Z,20.52,36.36,28,83,57,,0
13570146337,Morning Ride,20.26,56.57,13583,108,2025-01-13T00:22:25Z,21.49,43.49,28,70,47,,0
13570145633,Afternoon Ride,31.97,93.03,6054,181,2025-01-11T07:15:56Z,20.62,49.32,28,195,55,,0
13570146034,Afternoon Ride,12.14,34.2,2475,43,2024-12-15T06:28:29Z,21.29,39.82,29,85,59,,0
13105775373,Afternoon Ride,4.31,12.4,1005,11,2024-12-07T06:43:43Z,20.87,28.8,31,115,48,,0
13105775465,Afternoon Ride,33,80.9,5613,76,2024-11-13T08:05:58Z,24.48,41.11,27,78,51,,0
12883630031,Morning Ride,9.95,26.23,1614,53,2024-11-12T02:28:59Z,22.77,43.85,35,69,45,,0
12883630015,booty call,9.17,22.07,1324,20,2024-11-11T15:44:43Z,24.94,36.65,25,69,53,,0
12883630049,Indang!,45.25,128.78,9867,294,2024-11-11T04:23:42Z,21.08,42.34,29,343,48,,0
12864644592,Morning Ride,22.87,66.47,4916,103,2024-11-09T22:11:49Z,20.64,48.89,24,185,68,,0
12864644603,Morning Ride,25.88,80.48,6387,156,2024-11-09T03:34:44Z,19.29,44.64,36,193,32,,0
12657113162,Morning Ride,16.9,53.82,3430,41.5,2024-10-14T22:22:39Z,18.84,45.24,,27.9,8.1,,0
12657719881,Morning Ride,16.68,53.9,3514,43,2024-10-14T22:22:11Z,18.57,44.03,24,70,42,,0
12649811188,Morning Ride,25.2,67.53,6903,81.1,2024-10-13T22:04:20Z,22.39,42.24,,80.3,19,,0
12657719892,Morning Ride,24.82,65.15,6913,64,2024-10-13T22:04:00Z,22.86,37.94,26,163,56,,0
12645573183,Morning Ride,42.5,119.52,8783,290.4,2024-10-12T22:17:07Z,21.33,50.68,,299.6,22,,0
12641272145,Morning Indang Ride,42.17,120.68,8830,231,2024-10-12T22:16:07Z,20.96,48.36,27,338,52,,0
12635722715,Evening Ride,8.02,24.55,1521,19,2024-10-12T09:40:18Z,19.6,37.73,27,101,61,,0
12635722451,Noon Ride,1.78,8.83,2483,3,2024-10-12T04:50:56Z,12.07,34.32,35,82,72,,0
12579293167,hatid flowers,20.41,60.22,8352,38,2024-10-05T07:24:02Z,20.34,44.24,31,74,52,,0
12422308415,Afternoon Walk,4.64,49.22,3329,60.8,2024-09-16T07:11:35Z,5.66,13.41,,66.2,0.8,,0
11851557126,balik loob???,2.27,19.75,1330,3.8,2024-07-10T05:44:02Z,6.89,12.16,,27.3,22,,0
11551528276,Morning Ride,25.44,69.17,4290,55,2024-06-01T22:53:57Z,22.07,35.85,31,103,54,,0
11490378043,madali lang 100km pag patag 🤡🤡🤡,113.73,310.57,25186,201,2024-05-24T21:13:03Z,21.97,45.89,31,73,43,,1
11404376771,Morning Ride,20.66,73.37,5543,241,2024-05-13T21:38:24Z,16.9,51.75,26,234,53,,19
11389591974,Morning Ride,71.87,225.35,16554,669,2024-05-11T21:48:25Z,19.14,47.64,31,491,42,,2
11381272926,Morning Ride,81.95,229.83,17188,601,2024-05-10T21:18:17Z,21.39,51.88,29,623,48,,1
11349263049,Night Ride,51.41,141.78,9836,2624,2024-05-06T21:31:38Z,21.76,51.32,,458.8,-113.6,,1
11344098499,Evening Ride,17,39.28,2547,281,2024-05-06T09:35:30Z,25.97,42.16,,101.6,59.8,,0
11381278928,Evening Ride,16.94,38.1,2959,21,2024-05-06T09:35:14Z,26.67,38.25,31,81,59,,0
11344098528,Morning Ride,27.2,66.55,5597,105,2024-05-01T00:54:29Z,24.52,37.06,38,137,51,,0
11303404808,Morning Ride,28.27,71.82,5920,102.9,2024-05-01T00:51:24Z,23.62,43.11,,100.4,19.2,,0
11303018376,Morning Ride,20.3,47.77,6930,52,2024-04-22T23:31:38Z,25.5,40.25,34,70,51,,0
11242845158,Morning Ride,20.68,48.93,7046,458,2024-04-22T23:31:27Z,25.36,42.24,,109.4,31.8,,0
11229816774,Afternoon Ride,25.66,73.12,4688,608,2024-04-21T08:37:34Z,21.05,52.1,,113.8,61.2,,2
11242327668,Afternoon Ride,25.74,72.85,4737,26,2024-04-21T08:37:22Z,21.2,50.57,32,93,62,,0
11229131206,Morning Ride,31.96,75.6,4722,168,2024-04-21T00:00:14Z,25.37,49.72,34,149,59,,1
11227819209,Morning Ride,31.98,75.4,4772,144.3,2024-04-21T00:00:03Z,25.45,53.68,,104.1,19.2,,1
11220497783,Morning Ride,7.71,20.58,2995,52,2024-04-20T01:40:58Z,22.47,57.65,32,84,40,,0
11138787524,Morning ride,36.23,99.67,7007,179.8,2024-04-09T00:07:42Z,21.81,50.38,,135.5,19.2,,0
11132685966,Afternoon ride,32.53,78.75,5634,148.1,2024-04-08T07:02:14Z,24.79,51.18,,107,19.2,,8
11124392417,pauwii,9.27,22.82,1528,31.8,2024-04-07T08:15:16Z,24.37,52.06,,28.4,13.4,,0
11115633818,ANG INETTTTTT,22.19,55.58,4020,66.1,2024-04-06T02:32:02Z,23.95,48.15,,63.8,19.2,,1
11066795465,Ang init! (2),32.44,83.52,5979,147.1,2024-03-30T07:19:42Z,23.31,59.92,,106.8,19.2,,2
11059870131,ANG INIT PUTANGINAAAAA,32.49,80.53,5519,147.6,2024-03-29T07:18:16Z,24.21,47.32,,106.8,19.2,,0
11052248182,Morning ride,19.8,52.62,3410,55.1,2024-03-27T23:11:57Z,22.58,52.55,,52.6,19.2,,1
11006414355,trece,32.3,88.88,6077,146.5,2024-03-21T08:14:33Z,21.8,49.41,,105.7,19.2,,0
10998971181,first 30k ride ulit (trece),32.27,83.5,5327,144.7,2024-03-20T08:21:27Z,23.19,53.78,,104.4,19.1,,1
10991346902,gym 2,10.41,34.47,10157,32.8,2024-03-19T06:51:10Z,18.12,47.66,,28.4,14.1,,0
10976186245,melkti,6.33,20.53,1426,24,2024-03-17T06:45:28Z,18.51,42.87,,27.9,20.2,,0
10968667600,Gym commute,6.72,19.25,8698,22.9,2024-03-16T03:17:23Z,20.94,40.12,,28.4,14.1,,0
10484190590,first ride 2024,27.66,74.25,4783,135.4,2024-01-03T07:53:27Z,22.35,44.5,,138.3,21.8,,0
10377430064,Hatid aquaflask,21.78,66.37,6379,73.4,2023-12-14T04:13:39Z,19.69,48.25,,28.4,10.2,,0
10294483234,Evening jog,3.29,28.48,1816,2.8,2023-11-28T10:58:41Z,6.93,13.66,,26.8,21.3,,0
10277074849,Afternoon run,6.18,54.38,3385,17.7,2023-11-25T07:17:51Z,6.82,17.85,,33.4,20,,0
10272504983,Afternoon run,6.22,54.67,3375,17.8,2023-11-24T08:05:31Z,6.83,17.54,,33.4,20,,3
10266850066,"First ride in a month, umambon",31.19,75.38,4860,94.3,2023-11-23T07:24:29Z,24.82,40.79,,59.3,12.7,,1
10254095149,Morning Run,6.24,54.73,3490,17.7,2023-11-20T23:07:14Z,6.84,13,,33.4,20,,1
10243745353,Afternoon run,6.18,53.43,3471,17.9,2023-11-19T08:17:58Z,6.94,18.02,,33.4,20,,0
10238089877,Afternoon run,6.28,54.77,3453,18.2,2023-11-18T08:46:44Z,6.88,26.76,,33.4,20,,6
10233326447,Evening run,3.32,28.5,1857,0,2023-11-17T10:50:23Z,7,18.32,,26.4,24.2,,1
10227364788,Jogging to walking real quick,5.34,48.52,2995,10.9,2023-11-16T08:07:19Z,6.61,19.68,,34.1,22.1,,0
10059986109,fruity,21.3,61.53,6393,65.2,2023-10-18T07:38:24Z,20.76,73.46,,28.2,7.4,,0
